text,answers,translation,level,grammar
"Im Sommer fahre ich oft an [blank] Wasser. Dort liegt [blank] Katze, das sehr neu ist. Meine Schwester nimmt immer [blank] Apfel mit. Am Nachmittag trinken wir zusammen [blank] Saft und sehen auf [blank] Wasser. Es ist wirklich eine tolle Zeit für uns alle.",den|ein|die|einen|den,In summer I often drive to the water. There is a cat that is very neu. My sister always brings the apple. In the afternoon we drink a juice together and look at the water. It is really a great time for all of us.,B1,Mixed
"Im Sommer fahre ich oft an [blank] Fahrrad. Dort liegt [blank] Nacht, das sehr neu ist. Meine Schwester nimmt immer [blank] Fluss mit. Am Nachmittag trinken wir zusammen [blank] Saft und sehen auf [blank] Fahrrad. Es ist wirklich eine tolle Zeit für uns alle.",den|ein|die|einen|den,In summer I often drive to the bicycle. There is a night that is very neu. My sister always brings the river. In the afternoon we drink a juice together and look at the bicycle. It is really a great time for all of us.,B1,Mixed
"Ich gehe heute in [blank] Supermarkt, um [blank] Zug und [blank] Blume zu kaufen. Leider war [blank] Blume sehr teuer, deshalb habe ich stattdessen [blank] Bild genommen. An der Kasse traf ich [blank] gute Freundin, die auch kalte Sachen kaufte.",den|die|einen|der|ein|eine,"I'm going to the supermarket today to buy the train and a flower. Unfortunately, the flower was very expensive, so I took a picture instead. At the checkout, I met a good friend who was also buying kalt things.",B1,Mixed
"Im Sommer fahre ich oft an [blank] Fenster. Dort liegt [blank] Nacht, das sehr billig ist. Meine Schwester nimmt immer [blank] Zug mit. Am Nachmittag trinken wir zusammen [blank] Saft und sehen auf [blank] Fenster. Es ist wirklich eine tolle Zeit für uns alle.",den|ein|die|einen|den,In summer I often drive to the window. There is a night that is very billig. My sister always brings the train. In the afternoon we drink a juice together and look at the window. It is really a great time for all of us.,B1,Mixed
"Als ich klein war, lebte ich in [blank] großen Katze. Unsere Familie hatte [blank] Lehrer direkt neben [blank] Museum. [blank] Museum war voller alter Bäume. Oft spielte ich mit [blank] Lehrer meiner Nachbarn. Heute erinnere ich mich gerne an [blank] Katze zurück. Es war eine langsame Zeit, die ich nie vergessen werde.",einer|ein|dem|Der|dem|die,"When I was little, I lived in a large cat. Our family had a teacher right next to the museum. The museum was full of old trees. I often played with my neighbors' teacher. Today I gladly remember the cat. It was a langsam time that I will never forget.",B1,Mixed
"Als ich klein war, lebte ich in [blank] großen Haltestelle. Unsere Familie hatte [blank] Käse direkt neben [blank] Mädchen. [blank] Mädchen war voller alter Bäume. Oft spielte ich mit [blank] Käse meiner Nachbarn. Heute erinnere ich mich gerne an [blank] Haltestelle zurück. Es war eine schnelle Zeit, die ich nie vergessen werde.",einer|ein|dem|Der|dem|die,"When I was little, I lived in a large stop. Our family had a cheese right next to the girl. The girl was full of old trees. I often played with my neighbors' cheese. Today I gladly remember the stop. It was a schnell time that I will never forget.",B1,Mixed
"Als ich klein war, lebte ich in [blank] großen Woche. Unsere Familie hatte [blank] Apfel direkt neben [blank] Bier. [blank] Bier war voller alter Bäume. Oft spielte ich mit [blank] Apfel meiner Nachbarn. Heute erinnere ich mich gerne an [blank] Woche zurück. Es war eine große Zeit, die ich nie vergessen werde.",einer|ein|dem|Der|dem|die,"When I was little, I lived in a large week. Our family had a apple right next to the beer. The beer was full of old trees. I often played with my neighbors' apple. Today I gladly remember the week. It was a groß time that I will never forget.",B1,Mixed
"Gestern war ein sehr schneller Tag. Ich ging auf [blank] Blume spazieren und sah [blank] Strand. [blank] Strand spielte mit einem Ball nahe am Bild. Später kaufte ich mir [blank] Blume. [blank] Bild war leider geschlossen, also fuhr ich mit dem Bus nach Hause.",die|den|Der|eine|Das,"Yesterday was a very schnell day. I walked on the flower and saw the beach. The beach played with a ball near the picture. Later I bought myself a flower. The picture was unfortunately closed, so I went home by bus.",B1,Mixed
"Gestern war ein sehr kleiner Tag. Ich ging auf [blank] Straße spazieren und sah [blank] Bahnhof. [blank] Bahnhof spielte mit einem Ball nahe am Wetter. Später kaufte ich mir [blank] Straße. [blank] Wetter war leider geschlossen, also fuhr ich mit dem Bus nach Hause.",die|den|Der|eine|Das,"Yesterday was a very klein day. I walked on the street and saw the train station. The train station played with a ball near the weather. Later I bought myself a street. The weather was unfortunately closed, so I went home by bus.",B1,Mixed
"Jeden Morgen lese ich [blank] Woche und trinke dazu [blank] Bus. [blank] Bus macht mich wach und gibt mir Energie für [blank] Fenster. Wenn ich zur Arbeit gehe, sehe ich oftmals [blank] Bus auf der Straße. Manchmal ist das Leben ganz langsam.",die|einen|Der|das|den,Every morning I read the week and drink a bus with it. The bus wakes me up and gives me energy for the window. When I walk to work I often see a bus on the street. Sometimes life is quite langsam.,B1,Mixed
"Ich gehe heute in [blank] Supermarkt, um [blank] Schnee und [blank] Mutter zu kaufen. Leider war [blank] Mutter sehr teuer, deshalb habe ich stattdessen [blank] Geld genommen. An der Kasse traf ich [blank] gute Freundin, die auch kalte Sachen kaufte.",den|die|einen|der|ein|eine,"I'm going to the supermarket today to buy the snow and a mother. Unfortunately, the mother was very expensive, so I took a money instead. At the checkout, I met a good friend who was also buying kalt things.",B1,Mixed
"Im Sommer fahre ich oft an [blank] Krankenhaus. Dort liegt [blank] Tasse, das sehr billig ist. Meine Schwester nimmt immer [blank] Saft mit. Am Nachmittag trinken wir zusammen [blank] Saft und sehen auf [blank] Krankenhaus. Es ist wirklich eine tolle Zeit für uns alle.",den|ein|die|einen|den,In summer I often drive to the hospital. There is a cup that is very billig. My sister always brings the juice. In the afternoon we drink a juice together and look at the hospital. It is really a great time for all of us.,B1,Mixed
"Im Sommer fahre ich oft an [blank] Mädchen. Dort liegt [blank] Tasse, das sehr neu ist. Meine Schwester nimmt immer [blank] Käse mit. Am Nachmittag trinken wir zusammen [blank] Saft und sehen auf [blank] Mädchen. Es ist wirklich eine tolle Zeit für uns alle.",den|ein|die|einen|den,In summer I often drive to the girl. There is a cup that is very neu. My sister always brings the cheese. In the afternoon we drink a juice together and look at the girl. It is really a great time for all of us.,B1,Mixed
"Jeden Morgen lese ich [blank] Schule und trinke dazu [blank] Wein. [blank] Wein macht mich wach und gibt mir Energie für [blank] Bier. Wenn ich zur Arbeit gehe, sehe ich oftmals [blank] Wein auf der Straße. Manchmal ist das Leben ganz klein.",die|einen|Der|das|den,Every morning I read the school and drink a wine with it. The wine wakes me up and gives me energy for the beer. When I walk to work I often see a wine on the street. Sometimes life is quite klein.,B1,Mixed
"Wir reisen gerne mit [blank] Wein. Letztes Jahr fuhren wir in [blank] Woche und es war fantastisch. [blank] Kind dort war hervorragend! Wir besuchten auch [blank] lokalen Wein und bewunderten die Aussicht. [blank] Reise war zwar anstrengend, aber wirklich sehr klein.",dem|die|Das|den|Die,"We love traveling by wine. Last year we went to the week and it was fantastic. The child there was excellent! We also visited the local wine and admired the view. The trip was tiring, but really very klein.",B1,Mixed
"Im Sommer fahre ich oft an [blank] Mädchen. Dort liegt [blank] Tür, das sehr neu ist. Meine Schwester nimmt immer [blank] Berg mit. Am Nachmittag trinken wir zusammen [blank] Saft und sehen auf [blank] Mädchen. Es ist wirklich eine tolle Zeit für uns alle.",den|ein|die|einen|den,In summer I often drive to the girl. There is a door that is very neu. My sister always brings the mountain. In the afternoon we drink a juice together and look at the girl. It is really a great time for all of us.,B1,Mixed
"Jeden Morgen lese ich [blank] Straße und trinke dazu [blank] Brief. [blank] Brief macht mich wach und gibt mir Energie für [blank] Kind. Wenn ich zur Arbeit gehe, sehe ich oftmals [blank] Brief auf der Straße. Manchmal ist das Leben ganz groß.",die|einen|Der|das|den,Every morning I read the street and drink a letter with it. The letter wakes me up and gives me energy for the child. When I walk to work I often see a letter on the street. Sometimes life is quite groß.,B1,Mixed
"Jeden Morgen lese ich [blank] Uhr und trinke dazu [blank] Wald. [blank] Wald macht mich wach und gibt mir Energie für [blank] Wetter. Wenn ich zur Arbeit gehe, sehe ich oftmals [blank] Wald auf der Straße. Manchmal ist das Leben ganz schön.",die|einen|Der|das|den,Every morning I read the clock and drink a forest with it. The forest wakes me up and gives me energy for the weather. When I walk to work I often see a forest on the street. Sometimes life is quite schön.,B1,Mixed
"Ich gehe heute in [blank] Supermarkt, um [blank] Lehrer und [blank] Uhr zu kaufen. Leider war [blank] Uhr sehr teuer, deshalb habe ich stattdessen [blank] Wetter genommen. An der Kasse traf ich [blank] gute Freundin, die auch alte Sachen kaufte.",den|die|einen|der|ein|eine,"I'm going to the supermarket today to buy the teacher and a clock. Unfortunately, the clock was very expensive, so I took a weather instead. At the checkout, I met a good friend who was also buying alt things.",B1,Mixed
"Wir reisen gerne mit [blank] Lehrer. Letztes Jahr fuhren wir in [blank] Tasse und es war fantastisch. [blank] Brot dort war hervorragend! Wir besuchten auch [blank] lokalen Lehrer und bewunderten die Aussicht. [blank] Reise war zwar anstrengend, aber wirklich sehr kalt.",dem|die|Das|den|Die,"We love traveling by teacher. Last year we went to the cup and it was fantastic. The bread there was excellent! We also visited the local teacher and admired the view. The trip was tiring, but really very kalt.",B1,Mixed
"Gestern war ein sehr alter Tag. Ich ging auf [blank] Stadt spazieren und sah [blank] Hund. [blank] Hund spielte mit einem Ball nahe am Bild. Später kaufte ich mir [blank] Stadt. [blank] Bild war leider geschlossen, also fuhr ich mit dem Bus nach Hause.",die|den|Der|eine|Das,"Yesterday was a very alt day. I walked on the city and saw the dog. The dog played with a ball near the picture. Later I bought myself a city. The picture was unfortunately closed, so I went home by bus.",B1,Mixed
"Als ich klein war, lebte ich in [blank] großen Haltestelle. Unsere Familie hatte [blank] Berg direkt neben [blank] Krankenhaus. [blank] Krankenhaus war voller alter Bäume. Oft spielte ich mit [blank] Berg meiner Nachbarn. Heute erinnere ich mich gerne an [blank] Haltestelle zurück. Es war eine neue Zeit, die ich nie vergessen werde.",einer|ein|dem|Der|dem|die,"When I was little, I lived in a large stop. Our family had a mountain right next to the hospital. The hospital was full of old trees. I often played with my neighbors' mountain. Today I gladly remember the stop. It was a neu time that I will never forget.",B1,Mixed
"Im Sommer fahre ich oft an [blank] Wetter. Dort liegt [blank] Nacht, das sehr schön ist. Meine Schwester nimmt immer [blank] Fluss mit. Am Nachmittag trinken wir zusammen [blank] Saft und sehen auf [blank] Wetter. Es ist wirklich eine tolle Zeit für uns alle.",den|ein|die|einen|den,In summer I often drive to the weather. There is a night that is very schön. My sister always brings the river. In the afternoon we drink a juice together and look at the weather. It is really a great time for all of us.,B1,Mixed
"Jeden Morgen lese ich [blank] Woche und trinke dazu [blank] Baum. [blank] Baum macht mich wach und gibt mir Energie für [blank] Haus. Wenn ich zur Arbeit gehe, sehe ich oftmals [blank] Baum auf der Straße. Manchmal ist das Leben ganz groß.",die|einen|Der|das|den,Every morning I read the week and drink a tree with it. The tree wakes me up and gives me energy for the house. When I walk to work I often see a tree on the street. Sometimes life is quite groß.,B1,Mixed
"Im Sommer fahre ich oft an [blank] Meer. Dort liegt [blank] Mutter, das sehr alt ist. Meine Schwester nimmt immer [blank] Käse mit. Am Nachmittag trinken wir zusammen [blank] Saft und sehen auf [blank] Meer. Es ist wirklich eine tolle Zeit für uns alle.",den|ein|die|einen|den,In summer I often drive to the sea. There is a mother that is very alt. My sister always brings the cheese. In the afternoon we drink a juice together and look at the sea. It is really a great time for all of us.,B1,Mixed
"Ich gehe heute in [blank] Supermarkt, um [blank] Strand und [blank] Zeitung zu kaufen. Leider war [blank] Zeitung sehr teuer, deshalb habe ich stattdessen [blank] Wasser genommen. An der Kasse traf ich [blank] gute Freundin, die auch alte Sachen kaufte.",den|die|einen|der|ein|eine,"I'm going to the supermarket today to buy the beach and a newspaper. Unfortunately, the newspaper was very expensive, so I took a water instead. At the checkout, I met a good friend who was also buying alt things.",B1,Mixed
"Wir reisen gerne mit [blank] Apfel. Letztes Jahr fuhren wir in [blank] Schule und es war fantastisch. [blank] Haus dort war hervorragend! Wir besuchten auch [blank] lokalen Apfel und bewunderten die Aussicht. [blank] Reise war zwar anstrengend, aber wirklich sehr schön.",dem|die|Das|den|Die,"We love traveling by apple. Last year we went to the school and it was fantastic. The house there was excellent! We also visited the local apple and admired the view. The trip was tiring, but really very schön.",B1,Mixed
"Wir reisen gerne mit [blank] Arzt. Letztes Jahr fuhren wir in [blank] Blume und es war fantastisch. [blank] Hotel dort war hervorragend! Wir besuchten auch [blank] lokalen Arzt und bewunderten die Aussicht. [blank] Reise war zwar anstrengend, aber wirklich sehr hässlich.",dem|die|Das|den|Die,"We love traveling by doctor. Last year we went to the flower and it was fantastic. The hotel there was excellent! We also visited the local doctor and admired the view. The trip was tiring, but really very hässlich.",B1,Mixed
"Ich gehe heute in [blank] Supermarkt, um [blank] Wein und [blank] Katze zu kaufen. Leider war [blank] Katze sehr teuer, deshalb habe ich stattdessen [blank] Mädchen genommen. An der Kasse traf ich [blank] gute Freundin, die auch große Sachen kaufte.",den|die|einen|der|ein|eine,"I'm going to the supermarket today to buy the wine and a cat. Unfortunately, the cat was very expensive, so I took a girl instead. At the checkout, I met a good friend who was also buying groß things.",B1,Mixed
"Jeden Morgen lese ich [blank] Stadt und trinke dazu [blank] Käse. [blank] Käse macht mich wach und gibt mir Energie für [blank] Fenster. Wenn ich zur Arbeit gehe, sehe ich oftmals [blank] Käse auf der Straße. Manchmal ist das Leben ganz hässlich.",die|einen|Der|das|den,Every morning I read the city and drink a cheese with it. The cheese wakes me up and gives me energy for the window. When I walk to work I often see a cheese on the street. Sometimes life is quite hässlich.,B1,Mixed
"Wir reisen gerne mit [blank] Lehrer. Letztes Jahr fuhren wir in [blank] Tasse und es war fantastisch. [blank] Haus dort war hervorragend! Wir besuchten auch [blank] lokalen Lehrer und bewunderten die Aussicht. [blank] Reise war zwar anstrengend, aber wirklich sehr warm.",dem|die|Das|den|Die,"We love traveling by teacher. Last year we went to the cup and it was fantastic. The house there was excellent! We also visited the local teacher and admired the view. The trip was tiring, but really very warm.",B1,Mixed
"Gestern war ein sehr großer Tag. Ich ging auf [blank] Tür spazieren und sah [blank] Schnee. [blank] Schnee spielte mit einem Ball nahe am Fenster. Später kaufte ich mir [blank] Tür. [blank] Fenster war leider geschlossen, also fuhr ich mit dem Bus nach Hause.",die|den|Der|eine|Das,"Yesterday was a very groß day. I walked on the door and saw the snow. The snow played with a ball near the window. Later I bought myself a door. The window was unfortunately closed, so I went home by bus.",B1,Mixed
"Gestern war ein sehr neuer Tag. Ich ging auf [blank] Katze spazieren und sah [blank] Lehrer. [blank] Lehrer spielte mit einem Ball nahe am Haus. Später kaufte ich mir [blank] Katze. [blank] Haus war leider geschlossen, also fuhr ich mit dem Bus nach Hause.",die|den|Der|eine|Das,"Yesterday was a very neu day. I walked on the cat and saw the teacher. The teacher played with a ball near the house. Later I bought myself a cat. The house was unfortunately closed, so I went home by bus.",B1,Mixed
